uber_tract,census_tract
1,73.01
2,16.0
3,9.02
4,15.0
5,8.02
6,13.01
7,62.02
8,47.02
9,26.0
10,1.0
11,18.03
31,81.0
32,36.0
33,99.07
35,33.01
36,79.01
41,79.03
42,95.04
43,25.02
44,72.0
45,47.01
46,77.09
47,33.02
48,90.0
49,93.02
50,14.01
51,18.04
52,19.02
53,98.02
54,96.04
55,48.01
56,105.0
57,92.04
58,30.0
59,8.01
60,77.08
61,52.01
62,75.04
64,39.0
65,43.0
66,101.0
67,49.01
105,102.0
108,99.03
111,109.0
112,104.0
113,99.04
114,99.05
115,99.06
116,21.02
117,22.01
118,22.02
119,67.0
120,23.01
121,64.0
122,65.0
123,66.0
124,110.0
125,68.02
126,74.08
127,80.01
128,74.09
129,78.09
130,94.0
131,95.01
132,95.03
133,95.05
134,25.01
135,23.02
136,24.0
137,42.01
138,70.0
139,71.0
140,69.0
141,95.07
142,95.08
143,95.09
144,42.02
145,97.0
146,98.01
147,27.01
148,28.01
149,28.02
150,50.02
151,82.0
152,83.02
153,84.1
154,106.0
155,87.01
156,80.02
157,87.02
158,77.03
159,77.07
160,78.03
161,78.04
162,88.03
163,88.04
164,89.03
165,89.04
166,88.02
167,98.1
168,108.0
169,111.0
170,91.02
171,98.11
172,78.07
173,10.01
174,10.02
175,92.03
176,78.06
177,78.08
178,92.01
179,93.01
180,11.0
181,17.02
182,12.0
183,98.04
184,103.0
185,19.01
186,58.0
187,50.01
188,98.07
189,98.03
190,49.02
191,20.02
192,21.01
193,29.0
194,31.0
195,32.0
196,34.0
197,35.0
198,37.0
199,38.0
200,40.01
201,40.02
202,74.07
203,107.0
204,2.01
205,3.0
206,4.0
208,5.02
209,44.0
210,46.0
211,48.02
212,74.01
213,74.03
214,6.0
215,7.01
216,7.02
217,74.04
218,27.02
219,83.01
220,73.04
221,76.01
222,56.0
223,59.0
224,75.02
225,75.03
226,13.02
227,74.06
228,55.0
229,96.03
230,5.01
232,9.01
233,84.02
235,96.02
237,20.01
238,76.03
239,14.02
240,53.01
241,99.02
243,96.01
245,2.02
246,68.04
248,41.0
249,99.01
251,76.04
252,76.05
